Fold,Feature
2,cuenta
2,dar
2,datos
2,desarrollar soluciones
2,desarrollo
2,desarrollo sostenible
2,desempeñarse
2,desenvolverse
2,diferentes
2,digital
2,digitales
2,disciplina
2,diseña
2,diseñar implementar
2,diseño
2,distintas
2,diversas
2,diversidad
2,diversos
2,docente
2,doctor
2,económico
2,educación
2,efectiva
2,eficiencia
2,eficientes
2,egresado
2,egreso
2,ello
2,emergentes
2,emprender
2,emprendimientos
2,empresarial
2,empresariales
2,empresas
2,enfoque
2,entornos
2,equipos
2,equipos trabajo
2,estrategias
2,estudios
2,está
2,estándares calidad
2,evaluación
2,evaluar
2,evaluar gestionar
2,federico
2,fin
2,forma
2,formación
2,formación ciencias
2,formación integral
2,formar
2,generación
2,generar soluciones
2,gestiona
2,gestionar
2,gestionar proyectos
2,gestionar soluciones
2,gestión
2,gestión proyectos
2,gestión tecnologías
2,grandes volúmenes
2,hardware
2,humana
2,identificar
2,idioma
2,impacto
2,implementa
2,implementación
2,implementar
2,in
2,independiente
2,industria
2,información comunicación
2,ingeniera
2,ingeniero computación
2,ingeniero universidad
2,ingenieros
2,ingeniería
2,ingeniería computación
2,ingeniería software
2,ingeniería universidad
2,iniciativas
2,innovación
2,institucional
2,instituto
2,integra
2,integración
2,integrales
2,inteligencia
2,inteligencia artificial
2,interdisciplinarios
2,jefe
2,laboral
2,legal vigente
2,liderando
2,liderar
2,magíster ciencias
2,malla
2,manera
2,marcos
2,mediante
2,medio
2,mejora continua
2,mejora procesos
2,mención
2,mercado
2,metodologías
2,mirada
2,modelar
2,modelos
2,multidisciplinarios
2,mundo
2,nacional
2,negocio
2,negocios
2,nivel
2,niveles
2,normativa
2,normativa legal
2,nuevas
2,objetivos
2,oportunidades
2,organizacionales
2,organizaciones
2,organizaciones públicas
2,organización
2,partir
2,país
2,pensamiento
2,pensamiento crítico
2,perfil
2,permanente
2,permitan
2,permite
2,persona
2,personas
2,phd
2,plataformas
2,podrá
2,posee
2,principios
2,privadas
2,problemas
2,problemáticas
2,productos
2,profesional
2,profesional capaz
2,profesionales
2,profesionales capaces
2,profesión
2,programa
2,programación
2,propios
2,proyectos
2,proyectos ingeniería
2,proyectos tecnologías
2,proyectos tecnológicos
2,prácticas
2,puede
2,públicas
2,públicas privadas
2,público
2,públicos
2,quehacer
2,quehacer profesional
2,realizar
2,recursos
2,redes
2,requerimientos
2,resolución
2,resolución problemas
2,resolver
2,respeto
2,responsabilidad
2,responsabilidad social
2,resultados
2,riesgos
2,santa
2,santa maría
2,santiago
2,sector
2,seguridad
2,seguridad información
2,sentido
2,servicios
2,sistemas
2,sistemas computacionales
2,sistemas información
2,social
2,sociedad
2,software
2,soluciones eficientes
2,soluciones innovadoras
2,soluciones tecnológicas
2,sostenibilidad
2,sostenible
2,superior
2,sólida
2,sólida formación
2,tecnología
2,tecnologías
2,tecnologías información
2,tecnológica
2,tecnológicas
2,tecnológico
2,tecnológicos
2,telecomunicaciones
2,tic
2,toma
2,toma decisiones
2,trabajar
2,trabajo
2,transformación
2,transformación digital
2,través
2,técnica
2,técnicas
2,técnico
2,universidad católica
2,universitario
2,uso
2,utilizando
2,valor
2,vanguardia
2,vida
2,vigente
2,visión
2,volúmenes
2,ámbito
2,área
2,énfasis
2,ética
2,ético
2,éticos
3,acciones
3,actualización
3,acuerdo
3,adaptarse
3,además
3,alto
3,ambiental
3,analizar
3,analítica
3,aplica
3,aplicaciones
3,aplicación
3,aplicada
3,aplicando
3,aplicar
3,aprendizaje
3,artificial
3,as
3,asociados
3,año
3,base
3,bases
3,bases datos
3,bien común
3,buenas
3,básicas
3,básicas ciencias
3,campo
3,capaces
3,capacidad
3,capacitado
3,capaz
3,capaz concebir
3,carrera
3,carrera computación
3,católica
3,chile
3,ciberseguridad
3,ciclo vida
3,ciencia
3,ciencias
3,ciencias básicas
3,ciencias ingeniería
3,colaborativamente
3,complejos
3,componentes
3,comprometido
3,compromiso
3,computacionales
3,computación
3,computación universidad
3,comunicaciones
3,común
3,concebir diseñar
3,concepción
3,conocimiento
3,conocimientos
3,considerando
3,construir
3,contexto
3,contexto global
3,contextos
3,continua
3,contribuyendo
3,creación
3,crítico
3,cuenta
3,decisiones
3,demuestra
3,desafíos
3,desarrolla
3,desarrollar soluciones
3,desarrollo sostenible
3,desempeña
3,desempeñarse
3,desempeño
3,diferentes
3,digital
3,digitales
3,disciplina
3,diseña
3,diseñar
3,distintas
3,distintos
3,diversidad
3,diversos
3,doctor
3,económico
3,efectiva
3,eficiencia
3,eficiente
3,eficientes
3,egreso
3,emergentes
3,emprendimiento
3,emprendimientos
3,empresariales
3,enfoque
3,entorno
3,entornos
3,equipo
3,equipos
3,equipos multidisciplinarios
3,equipos trabajo
3,especialidad
3,estándares
3,evaluación
3,evaluando
3,evaluar
3,evolución
3,excelencia
3,facultad
3,federico
3,federico santa
3,forma
3,formación
3,formación integral
3,formación permite
3,formativo
3,función
3,fundamentos
3,generando
3,generar
3,generar soluciones
3,gestionar
3,gestionar proyectos
3,gestionar soluciones
3,global
3,hardware
3,humana
3,identidad
3,identificar
3,idioma
3,idioma inglés
3,industria
3,industrial
3,información
3,información comunicaciones
3,información comunicación
3,ingeniero
3,ingeniero universidad
3,ingenieros
3,ingeniería
3,ingeniería universidad
3,inglés
3,innovación
3,instituciones
3,instituto
3,integración
3,integral
3,integrales
3,inteligencia
3,inteligencia artificial
3,interdisciplinarios
3,internacionales
3,jefe
3,laboral
3,legal
3,lenguajes
3,lenguajes programación
3,liderando
3,liderar
3,liderar equipos
3,liderazgo
3,magíster
3,magíster ciencias
3,manager
3,mantención
3,marcos
3,mediante
3,mejora
3,mejora continua
3,mención
3,mercado
3,metodologías
3,modelos
3,multidisciplinarios
3,mundo
3,negocio
3,nivel
3,normativa
3,normativa legal
3,objetivos
3,oportunidades
3,organizacionales
3,pensamiento
3,perfil egreso
3,permanente
3,permitan
3,permite
3,persona
3,persona humana
3,personas
3,planificación
3,plataformas
3,podrá
3,posee
3,principios
3,problemas
3,problemas complejos
3,problemáticas
3,proceso
3,productivo
3,productos
3,profesional
3,profesional integral
3,profesionales
3,programación
3,promoción
3,promoción bien
3,propios
3,proyectos tecnologías
3,proyectos tecnológicos
3,prácticas
3,prácticas industria
3,público
3,quehacer
3,realizar
3,redes
3,región
3,requerimientos
3,resolución
3,resolver
3,resolver problemas
3,respetando
3,respeto
3,responsabilidad social
3,responsable
3,resultados
3,riesgos
3,santa
3,santiago
3,según
3,sello
3,servicios
3,siendo capaz
3,sistemas
3,sistemas computacionales
3,situaciones
3,social
3,sociales
3,software
3,soluciones tecnológicas
3,superior
3,sólida
3,sólida formación
3,sólidos
3,tecnología
3,tecnologías
3,tecnologías información
3,tecnológicas
3,tecnológico
3,tecnológicos
3,toma
3,toma decisiones
3,trabajo equipo
3,transformación
3,través
3,técnicas
3,técnicos
3,universidad católica
3,universidad técnica
3,usuario
3,utilizando
3,utilizando herramientas
3,valor
3,valparaíso
3,vigente
3,visión cristiana
3,ámbitos
3,área
3,áreas
3,ético
3,éticos
4,10
4,2026
4,académico
4,acreditación
4,acuerdo
4,además
4,alto
4,analizar
4,analítica
4,análisis
4,aplica
4,aplicaciones
4,aplicación
4,aplicada
4,aplicar
4,aprendizaje
4,artificial
4,asimismo
4,autónoma
4,bajo
4,base
4,bases
4,bases datos
4,bien
4,buenas
4,calidad
4,calidad seguridad
4,campus
4,capaces
4,capacidad
4,capacitado
4,capaz
4,carrera
4,chile
4,ciencia
4,ciencia datos
4,ciencias
4,ciencias computación
4,ciencias ingeniería
4,competencias
4,complejos
4,componentes
4,comprometido
4,computación
4,computadores
4,comunicación
4,comunicación efectiva
4,comunicarse
4,común
4,concepción
4,conocimiento
4,conocimientos
4,conocimientos ciencias
4,considerando
4,constante
4,construir
4,contextos
4,contribuir
4,contribuyendo
4,crear
4,cristiana
4,criterios
4,crítica
4,crítico
4,cualquier
4,dar
4,datos
4,decisiones
4,desarrolla
4,desarrollar
4,desarrollar soluciones
4,desarrollo
4,desempeña
4,desenvolverse
4,digital
4,digitales
4,disciplina
4,diseñar
4,diseñar implementar
4,diseño
4,distintas
4,distintos
4,diversidad
4,diversos
4,doctor
4,económico
4,educación
4,efectiva
4,eficiencia
4,eficientes
4,egreso
4,emergentes
4,emprendimiento
4,emprendimientos
4,empresarial
4,empresariales
4,empresas
4,enfoque
4,entorno
4,equipos
4,equipos trabajo
4,especialidad
4,estrategia
4,estrategias
4,estándares
4,estándares calidad
4,evaluación
4,evaluando
4,evaluar
4,evolución
4,federico
4,federico santa
4,fin
4,forma
4,formación ciencias
4,formación permite
4,formativo
4,función
4,fundamentos
4,generación
4,generando
4,gestiona
4,gestionar proyectos
4,gestión proyectos
4,global
4,grandes
4,habilidades
4,hardware
4,herramientas
4,humana
4,humanos
4,identificar
4,impacto
4,implementa
4,implementar
4,in
4,información
4,información comunicaciones
4,información comunicación
4,información organizaciones
4,ingeniera
4,ingeniero
4,ingeniero computación
4,ingenieros
4,ingeniería
4,ingeniería software
4,ingeniería universidad
4,inglés
4,innovación
4,innovación tecnológica
4,innovadoras
4,institucional
4,instituciones
4,instituto
4,integración
4,integral
4,integrales
4,inteligencia artificial
4,interdisciplinarios
4,investigación
4,laboral
4,legal
4,legal vigente
4,lenguajes
4,liderando
4,liderar
4,liderar equipos
4,magíster
4,malla
4,marco
4,maría
4,mediante
4,medio
4,mejora
4,mejora procesos
4,mención
4,mercado
4,multidisciplinarios
4,mundo
4,necesidades
4,niveles
4,normativa
4,normativa legal
4,nuevas
4,operación
4,oportunidades
4,organizacionales
4,organizaciones públicas
4,organización
4,país
4,pensamiento
4,pensamiento crítico
4,perfil
4,perfil egreso
4,permanente
4,permitan
4,permite
4,persona humana
4,personas
4,planificación
4,plataformas
4,podrá
4,principios
4,privado
4,proceso
4,procesos
4,productivo
4,productos
4,profesional
4,profesionales
4,profesionales capaces
4,programa
4,programación
4,promoción bien
4,promueve
4,propios
4,proyectos
4,proyectos tecnologías
4,proyectos tecnológicos
4,prácticas
4,prácticas industria
4,públicas
4,públicas privadas
4,público
4,quehacer
4,realizar
4,recursos
4,redes
4,región
4,requerimientos
4,resolución
4,respeto
4,responsabilidad
4,responsabilidad social
4,responsable
4,resultados
4,riesgos
4,santa
4,santa maría
4,santiago
4,sector
4,sector público
4,seguridad información
4,según
4,sello
4,servicios
4,siendo
4,sistemas
4,social
4,sociales
4,soluciones
4,soluciones eficientes
4,soluciones integrales
4,soluciones tecnológicas
4,sostenible
4,superior
4,sólida
4,sólida formación
4,sólidos
4,tecnología
4,tecnologías
4,tecnologías información
4,tecnológica
4,tecnológicas
4,tecnológico
4,tecnológicos
4,toma
4,toma decisiones
4,trabajar
4,trabajo
4,transformación
4,técnica
4,técnica federico
4,técnicas
4,técnico
4,universidad católica
4,universidad técnica
4,universitario
4,uso
4,utilizando
4,valor
4,valparaíso
4,vida
4,visión
4,volúmenes
4,ámbito
4,ámbitos
4,área
4,éticos
5,000
5,10
5,2026
5,acciones
5,actualización
5,acuerdo
5,adaptarse
5,admisión
5,alto
5,ambiental
5,ambientes
5,analista
5,analizar
5,analítica
5,análisis
5,aplicaciones
5,aplicación
5,aplicada
5,aplicando
5,aplicando conocimientos
5,aplicar
5,apoyar
5,aprendizaje
5,aranceles
5,arquitecturas
5,artificial
5,as
5,asimismo
5,asociados
5,así
5,autogestión
5,automatización
5,autónoma
5,año
5,basadas
5,base
5,bases
5,bases datos
5,bien
5,bien común
5,buenas
5,básicas
5,básicas ingeniería
5,bío
5,cada
5,calidad seguridad
5,cambio
5,campo ocupacional
5,campus
5,capaces
5,capacidad
5,capacidades
5,capacitado
5,capaz
5,carrera
5,carrera universidad
5,certificación
5,chile
5,ciclo vida
5,ciencia
5,ciencias
5,ciencias básicas
5,ciencias ingeniería
5,cliente
5,competencias
5,complejos
5,computación
5,computadores
5,comunicación efectiva
5,comunicarse
5,común
5,concebir
5,conocimiento
5,conocimientos
5,considerando
5,constante
5,construir
5,contexto global
5,contextos
5,continua
5,contribuir
5,contribuyendo
5,creación
5,cristiana
5,criterios
5,cualquier
5,cuenta
5,datos
5,decisiones
5,desafíos
5,desarrolla
5,desarrollar
5,desarrollo
5,desempeñarse
5,desempeño
5,desenvolverse
5,digital
5,diseña
5,diseñar desarrollar
5,diseñar implementar
5,diseño
5,distintos
5,diversas
5,diversos
5,económico
5,económico social
5,efectiva
5,efectivamente
5,eficiente
5,egreso
5,emergentes
5,emprendimiento
5,emprendimientos
5,empresarial
5,empresas
5,enfoque
5,entorno
5,entornos
5,equipo
5,equipos
5,equipos multidisciplinarios
5,equipos trabajo
5,especialidad
5,estrategia
5,estrategias
5,estratégicas
5,estudiantes
5,estudios
5,está
5,estándares
5,estándares calidad
5,evaluación
5,evaluando
5,evaluar
5,evolución
5,fin
5,formación
5,formativo
5,fundamentos
5,generación
5,generar
5,generar soluciones
5,gestionar
5,gestionar proyectos
5,gestión
5,gestión proyectos
5,global
5,habilidades
5,herramientas
5,humana
5,identificar
5,idioma
5,impacto
5,implementar
5,independiente
5,información comunicaciones
5,información comunicación
5,infraestructura
5,ingeniero
5,ingeniero computación
5,ingeniero universidad
5,ingenieros
5,ingeniería computación
5,inglés
5,innovación
5,innovador
5,innovadoras
5,innovar
5,instituciones
5,integra
5,integral
5,integrando
5,integrar
5,inteligencia
5,inteligencia artificial
5,interdisciplinarios
5,investigación
5,jefe
5,laboral
5,legal
5,legal vigente
5,lenguajes
5,lenguajes programación
5,liderando
5,liderar
5,liderar equipos
5,liderazgo
5,malla
5,manejo
5,manera
5,mantención
5,marco
5,mediante
5,medio
5,mejora continua
5,mejora procesos
5,metodologías
5,modelar
5,modelos
5,multidisciplinarios
5,mundo
5,mundo vida
5,negocio
5,negocios
5,nivel
5,normativa legal
5,organizacionales
5,organizaciones
5,organización
5,partir
5,país
5,pensamiento crítico
5,perfil
5,permanente
5,permitan
5,persona
5,personas
5,plan
5,planificar
5,plataformas
5,podrá
5,principios
5,privadas
5,privado
5,problemas
5,problemáticas
5,proceso
5,procesos
5,profesional
5,profesionales capaces
5,profesión
5,programa
5,programación
5,promoción bien
5,propios
5,proyectos
5,proyectos tecnológicos
5,prácticas
5,prácticas industria
5,puede
5,públicas
5,públicas privadas
5,público privado
5,quehacer
5,quehacer profesional
5,realizar
5,recursos
5,redes
5,región
5,requerimientos
5,resolver problemas
5,respeto
5,responsabilidad
5,responsabilidad social
5,rol
5,santiago
5,santísima concepción
5,sector
5,seguridad
5,seguridad información
5,según
5,sello
5,sentido
5,servicio
5,servicios
5,siendo
5,siendo capaz
5,sistemas
5,sistémica
5,social económico
5,sociales
5,sociedad
5,software
5,software hardware
5,soluciones
5,soluciones innovadoras
5,soluciones software
5,solución
5,soporte
5,sostenibilidad
5,sostenibles
5,sólida formación
5,sólidos
5,sólidos conocimientos
5,tecnologías
5,tecnologías información
5,tecnológica
5,tecnológicas
5,tecnológico
5,tecnológicos
5,telecomunicaciones
5,tipo
5,trabajar
5,trabajar equipos
5,trabajo
5,trabajo equipo
5,transformación
5,través
5,técnicas
5,técnico
5,universidad católica
5,uso
5,utilizando
5,valor
5,vanguardia
5,vida
5,vida según
5,vigente
5,visión
5,visión cristiana
5,ámbito
5,ámbitos
5,área
5,áreas
5,énfasis
5,ética
5,ético
