fila_datos,grado,n_titulos,n_tokens_aislados,tiene_eliminaciones,titulos_eliminados,tokens_eliminados,texto_original,texto_enmascarado,universidad,carrera,url
29,Ejecución,0,6,True,[],"[""informáticos"", ""Ejecución"", ""Informática"", ""Ejecución"", ""Informática"", ""informáticos""]","Técnico(a) Universitario(a) Analista de Sistemas y Programador(a) de Computadores El/la Técnico(a) Universitario(a) Analista de Sistemas y Programador(a) de Computadores egresado/a del Instituto Tecnológico de la Universidad Católica de la Santísima Concepción, es un/a Técnico/a Universitario/a de Nivel Superior comprometido/a con el respeto de la dignidad de la persona humana y con la promoción del bien común a partir de una visión cristiana del mundo y de la vida según los principios del sello identitario de la Institución. Este/a Técnico/a Universitario/a, se encuentra capacitado/a para el desarrollo de software, la automatización de procesos y la gestión de bases de datos, empleando diversos lenguajes de programación y herramientas de creación y mantención, siendo capaz de disponer de la información de forma estructurada, íntegra y funcional a los sistemas informáticos, usuarios u operadores que lo demanden. Se desempeña en instituciones públicas y privadas. Ingeniero/a de Ejecución en Informática El/la Ingeniero/a de Ejecución en Informática egresado/a del Instituto Tecnológico de la Universidad Católica de la Santísima Concepción, es un/a profesional comprometido/a con el respeto de la dignidad de la persona humana y con la promoción del bien común a partir de una visión cristiana del mundo y de la vida según los principios del sello identitario de la Institución. Este/a profesional se encuentra capacitado/a para el desarrollo de software y tecnologías de la información, con conocimientos en lenguajes de programación, recursos digitales e inteligencia de negocios, lo que le permite desenvolverse en los ámbitos del diseño, mantención y monitoreo tanto de bases de datos, como de sistemas informáticos, automatizando procesos. Se desempeña en instituciones públicas y privadas.","Técnico(a) Universitario(a) Analista de Sistemas y Programador(a) de Computadores El/la Técnico(a) Universitario(a) Analista de Sistemas y Programador(a) de Computadores egresado/a del Instituto Tecnológico de la Universidad Católica de la Santísima Concepción, es un/a Técnico/a Universitario/a de Nivel Superior comprometido/a con el respeto de la dignidad de la persona humana y con la promoción del bien común a partir de una visión cristiana del mundo y de la vida según los principios del sello identitario de la Institución. Este/a Técnico/a Universitario/a, se encuentra capacitado/a para el desarrollo de software, la automatización de procesos y la gestión de bases de datos, empleando diversos lenguajes de programación y herramientas de creación y mantención, siendo capaz de disponer de la información de forma estructurada, íntegra y funcional a los sistemas , usuarios u operadores que lo demanden. Se desempeña en instituciones públicas y privadas. Ingeniero/a de en El/la Ingeniero/a de en egresado/a del Instituto Tecnológico de la Universidad Católica de la Santísima Concepción, es un/a profesional comprometido/a con el respeto de la dignidad de la persona humana y con la promoción del bien común a partir de una visión cristiana del mundo y de la vida según los principios del sello identitario de la Institución. Este/a profesional se encuentra capacitado/a para el desarrollo de software y tecnologías de la información, con conocimientos en lenguajes de programación, recursos digitales e inteligencia de negocios, lo que le permite desenvolverse en los ámbitos del diseño, mantención y monitoreo tanto de bases de datos, como de sistemas , automatizando procesos. Se desempeña en instituciones públicas y privadas.",Universidad de la Santisima Concepcion,Ingenieria de Ejecucion en Informatica,https://it.ucsc.cl/carreras/ingenieria-de-ejecucion-en-informatica/
30,Civil,0,3,True,[],"[""Civil"", ""Informática"", ""informáticos""]","El/la Ingeniero/a Civil en Informática egresado/a de la Universidad Católica de Temuco es una persona profesional formada en Ciencias de la Ingeniería, con habilidades de análisis, diseño, implementación, mejora y gestión en proyectos públicos y privados de desarrollo de Software, de Infraestructura de servicios informáticos y de sistemas inteligentes. Su formación integral le permite abordar estos proyectos colaborativa y autónomamente mediante soluciones creativas, innovadoras, eficientes y sostenibles, con un actuar ético, respetuoso y que valora la diversidad, de acuerdo a los principios humanistas y cristianos.","El/la Ingeniero/a en egresado/a de la Universidad Católica de Temuco es una persona profesional formada en Ciencias de la Ingeniería, con habilidades de análisis, diseño, implementación, mejora y gestión en proyectos públicos y privados de desarrollo de Software, de Infraestructura de servicios y de sistemas inteligentes. Su formación integral le permite abordar estos proyectos colaborativa y autónomamente mediante soluciones creativas, innovadoras, eficientes y sostenibles, con un actuar ético, respetuoso y que valora la diversidad, de acuerdo a los principios humanistas y cristianos.",Universidad Catolica de Temuco,Ingenieria Civil en Informatica,https://admision.uct.cl/ing-civil-informatica/
31,Informática,1,2,True,"[""Ingeniería de Ejecución en Informática""]","[""informáticas"", ""informática""]","El titulado de la carrera de Ingeniería de Ejecución en Informática de Universidad de Las Américas es un profesional capaz de aplicar su conocimiento disciplinar de modo pertinente en el contexto laboral. Está enfocado en generar valor e innovación a través de las tecnologías informáticas aplicadas a ámbitos de negocios e industria, siendo capaz de entregar soluciones tecnológicas considerando aspectos de gestión de proyectos tecnológicos, análisis de datos e inteligencia de negocios, ingeniería de software, procesos y seguridad informática, según estándares y normas establecidas. Su actuar está fundamentado en los principios éticos de la profesión, demostrando un compromiso social y ciudadano al interior de las comunidades con las que se relaciona. Además, gracias a su formación integral, es capaz de utilizar herramientas digitales y de investigación que le permiten perfeccionarse y desenvolverse en el actual mundo laboral. Asimismo, será un profesional para el siglo XXI que responda a las necesidades que demanda un entorno cambiante, enfocado al logro de resultados, con habilidades de autoaprendizaje y autogestión, quien se identificará por su desempeño con orientación a sus clientes, trabajo en equipo y capacidad de comunicarse efectivamente. Finalmente, se espera que en el ejercicio laboral utilice sus conocimientos y capital intelectual con respeto a principios éticos, comprometido con el trabajo bien hecho, eficiente y sustentable, atendiendo al cuidado de las personas y el medio ambiente, de forma que contribuya a la construcción de una sociedad más justa y equitativa. Finalmente, por su amplio conocimiento de la industria de las comunicaciones y los medios de comunicación tradicionales y digitales, se espera que pueda gestionar, desarrollar e implementar proyectos periodísticos de diversa índole.","El titulado de la carrera de de Universidad de Las Américas es un profesional capaz de aplicar su conocimiento disciplinar de modo pertinente en el contexto laboral. Está enfocado en generar valor e innovación a través de las tecnologías aplicadas a ámbitos de negocios e industria, siendo capaz de entregar soluciones tecnológicas considerando aspectos de gestión de proyectos tecnológicos, análisis de datos e inteligencia de negocios, ingeniería de software, procesos y seguridad , según estándares y normas establecidas. Su actuar está fundamentado en los principios éticos de la profesión, demostrando un compromiso social y ciudadano al interior de las comunidades con las que se relaciona. Además, gracias a su formación integral, es capaz de utilizar herramientas digitales y de investigación que le permiten perfeccionarse y desenvolverse en el actual mundo laboral. Asimismo, será un profesional para el siglo XXI que responda a las necesidades que demanda un entorno cambiante, enfocado al logro de resultados, con habilidades de autoaprendizaje y autogestión, quien se identificará por su desempeño con orientación a sus clientes, trabajo en equipo y capacidad de comunicarse efectivamente. Finalmente, se espera que en el ejercicio laboral utilice sus conocimientos y capital intelectual con respeto a principios éticos, comprometido con el trabajo bien hecho, eficiente y sustentable, atendiendo al cuidado de las personas y el medio ambiente, de forma que contribuya a la construcción de una sociedad más justa y equitativa. Finalmente, por su amplio conocimiento de la industria de las comunicaciones y los medios de comunicación tradicionales y digitales, se espera que pueda gestionar, desarrollar e implementar proyectos periodísticos de diversa índole.",Universidad de las Américas,Ingenieria en Informatica,https://ingenieria.udla.cl/carreras/ingenieria-en-informatica/
32,Informática,0,1,True,[],"[""informática""]","Formar profesionales capaces de aplicar de manera metódica, integrada y contextualizada los conocimientos de la ciencia y tecnologías para la gestión, administración y diseño de sistemas de información. Formar profesionales capaces de gestionar para dar respuesta a demandas del escenario productivo. Formar profesionales capaces de aplicar sistemáticamente conocimientos técnicos y científicos propios de la ingeniería en computación e informática, entregando solución a los requerimientos de la industria y mercado laboral.","Formar profesionales capaces de aplicar de manera metódica, integrada y contextualizada los conocimientos de la ciencia y tecnologías para la gestión, administración y diseño de sistemas de información. Formar profesionales capaces de gestionar para dar respuesta a demandas del escenario productivo. Formar profesionales capaces de aplicar sistemáticamente conocimientos técnicos y científicos propios de la ingeniería en computación e , entregando solución a los requerimientos de la industria y mercado laboral.",Universidad Andres Bello,Ingenieria en Computacion e Informatica,https://admision.unab.cl/carreras/ingenieria-en-computacion-e-informatica/
33,Civil,3,2,True,"[""Ingeniería Civil Informática"", ""Ingeniería Civil Informática"", ""Ingeniero Civil""]","[""informáticos"", ""Informático""]","¿Cómo es el perfil del egresado de Ingeniería Civil Informática? Quien egrese de la carrera de Ingeniería Civil Informática de la Universidad Autónoma de Chile, es un profesional con formación científica y tecnológica en ciencias básicas, ciencias de la ingeniería y de la ingeniería aplicada para resolver problemas fundamentales y propios de las organizaciones. Es capaz de desempeñarse en el diagnóstico, diseño y gestión, en estructurar y recomendar evaluación de planes para la mejora de resultados de procesos informáticos, tanto en organizaciones de producción de bienes como de servicios, o en sus propios emprendimientos. Considerando los recursos humanos, financieros y tecnológicos, así como también, los aspectos legales, normativos y los distintos agentes que influyen en los procesos de mejora, comunicándolo de manera efectiva mediante el uso de tecnologías disponibles acorde a su profesión. El Ingeniero Civil Informático, posee como sello diferenciador la capacidad de trabajo en equipos multidisciplinarios, bajo un marco de comportamiento ético, responsabilidad social, visión sistemática y de evaluación de riesgos.","¿Cómo es el perfil del egresado de ? Quien egrese de la carrera de de la Universidad Autónoma de Chile, es un profesional con formación científica y tecnológica en ciencias básicas, ciencias de la ingeniería y de la ingeniería aplicada para resolver problemas fundamentales y propios de las organizaciones. Es capaz de desempeñarse en el diagnóstico, diseño y gestión, en estructurar y recomendar evaluación de planes para la mejora de resultados de procesos , tanto en organizaciones de producción de bienes como de servicios, o en sus propios emprendimientos. Considerando los recursos humanos, financieros y tecnológicos, así como también, los aspectos legales, normativos y los distintos agentes que influyen en los procesos de mejora, comunicándolo de manera efectiva mediante el uso de tecnologías disponibles acorde a su profesión. El , posee como sello diferenciador la capacidad de trabajo en equipos multidisciplinarios, bajo un marco de comportamiento ético, responsabilidad social, visión sistemática y de evaluación de riesgos.",Universidad Autonoma de Chile,Ingenieria Civil Informatica,https://admision.uautonoma.cl/carreras/ingenieria-civil-informatica/
34,Informática,0,1,True,[],"[""informáticas""]","El egresado de la Universidad Autónoma de Chile es un profesional que está capacitado para supervisar y gestionar proyectos de tecnologías de información, así como también para diseñar y desarrollar soluciones informáticas integrales, basadas en lenguajes de programación y analítica de datos, que cumplan con los estándares de calidad y seguridad de la información de alcance global, a través de metodologías ágiles de innovación y control de calidad de proyectos TI; contribuyendo a los procesos de transformación digital de las distintas industrias y/u organizaciones de servicio.","El egresado de la Universidad Autónoma de Chile es un profesional que está capacitado para supervisar y gestionar proyectos de tecnologías de información, así como también para diseñar y desarrollar soluciones integrales, basadas en lenguajes de programación y analítica de datos, que cumplan con los estándares de calidad y seguridad de la información de alcance global, a través de metodologías ágiles de innovación y control de calidad de proyectos TI; contribuyendo a los procesos de transformación digital de las distintas industrias y/u organizaciones de servicio.",Universidad Autonoma de Chile,Ingenieria en Informatica,https://admision.uautonoma.cl/carreras/ingenieria-en-informatica-online-regular/
35,Civil,1,2,True,"[""Ingeniería Civil en Computación e Informática""]","[""civil"", ""informática""]","El/la ingeniero/a civil en computación e informática puede desempeñarse en empresas u organizaciones del sector privado y público, ya sea en el rubro tecnológico, financiero, minero y médico, entre otros. También puede ejercer como consultor/a analista, jefe de proyectos, ingeniero/a de desarrollo, gestor de calidad y en el ejercicio independiente de la profesión El/la titulado/a de la carrera de Ingeniería Civil en Computación e Informática de la U. Central es un/a profesional capaz para analizar, diseñar, gestionar y desarrollar proyectos de software, computación aplicada y/o ciencias de datos, y así fortalecer los procesos de toma de decisiones estratégicas. Cuenta con las competencias para elaborar propuestas innovadoras y sostenibles, con el fin de afrontar los desafíos locales y globales. Es un/a profesional capacitado/a para formar equipos multidisciplinarios con una mirada ética y ajustándose a las normas de la ingeniería. Ver perfiles de egreso Ver perfiles de egreso Según el portal nacional de MiFuturo (datos 2024), el primer año de egreso cuenta con un 91% de empleabilidad, cifra que aumenta al 93,9% durante el segundo año de egreso. Edificio Gonzalo Hernández Uribe (GHU), Lord Cochrane 417, Santiago. Estudia con un cuerpo docente de excelencia, en instalaciones especializadas para poner a prueba los conocimientos adquiridos en simulacros reales y en un horario que se acomoda a tus necesidades. Contarás con las pasantías a la Fiscalía Metropolitana Sur y el Conservador de Bienes Raíces de San Miguel, que enriquecerán tu perfil profesional. UCEN Región de Coquimbo, Avda. Fco de Aguirre 0405, La Serena. Capacítate junto a docentes de alto nivel académico y en salas especializadas para la práctica profesional de tus conocimientos. Contarás con pasantías en la Corte de Apelaciones de La Serena, el Conservador de Bienes Raíces de Coquimbo, Servicio Nacional del Consumidor y Notarías, que permitirán enriquecer tus competencias profesionales.","El/la ingeniero/a en computación e puede desempeñarse en empresas u organizaciones del sector privado y público, ya sea en el rubro tecnológico, financiero, minero y médico, entre otros. También puede ejercer como consultor/a analista, jefe de proyectos, ingeniero/a de desarrollo, gestor de calidad y en el ejercicio independiente de la profesión El/la titulado/a de la carrera de de la U. Central es un/a profesional capaz para analizar, diseñar, gestionar y desarrollar proyectos de software, computación aplicada y/o ciencias de datos, y así fortalecer los procesos de toma de decisiones estratégicas. Cuenta con las competencias para elaborar propuestas innovadoras y sostenibles, con el fin de afrontar los desafíos locales y globales. Es un/a profesional capacitado/a para formar equipos multidisciplinarios con una mirada ética y ajustándose a las normas de la ingeniería. Ver perfiles de egreso Ver perfiles de egreso Según el portal nacional de MiFuturo (datos 2024), el primer año de egreso cuenta con un 91% de empleabilidad, cifra que aumenta al 93,9% durante el segundo año de egreso. Edificio Gonzalo Hernández Uribe (GHU), Lord Cochrane 417, Santiago. Estudia con un cuerpo docente de excelencia, en instalaciones especializadas para poner a prueba los conocimientos adquiridos en simulacros reales y en un horario que se acomoda a tus necesidades. Contarás con las pasantías a la Fiscalía Metropolitana Sur y el Conservador de Bienes Raíces de San Miguel, que enriquecerán tu perfil profesional. UCEN Región de Coquimbo, Avda. Fco de Aguirre 0405, La Serena. Capacítate junto a docentes de alto nivel académico y en salas especializadas para la práctica profesional de tus conocimientos. Contarás con pasantías en la Corte de Apelaciones de La Serena, el Conservador de Bienes Raíces de Coquimbo, Servicio Nacional del Consumidor y Notarías, que permitirán enriquecer tus competencias profesionales.",Universidad Central de Chile,Ingenieria Civil en Computacion e Informatica,https://admision.ucentral.cl/carrera/ingenieria-civil-en-computacion-e-informatica/
36,Informática,0,1,True,[],"[""informática""]","Perfil de egreso El/la Ingeniero/a en informática y sistemas inteligentes de la Universidad Central de Chile es un/a profesional que diseña, desarrolla implementa y gestiona soluciones tecnológicas innovadoras, aplicando conocimientos y habilidades en desarrollo e ingeniería de software, proyectos de ciencia de datos y aplicación de inteligencia artificial. Actúa en contextos organizacionales diversos, tanto públicos como privados, contribuyendo a la transformación digital, la eficiencia operativa y la mejora continua, con pensamiento crítico y sustentabilidad, centrada en el usuario. Su formación le permite liderar proyectos tecnológicos, adaptarse a escenarios de rápida evolución digital, trabajar colaborativamente en equipos multidisciplinarios y comunicar efectivamente sus propuestas en ambientes locales y globales con enfoque de género y diversidad.","Perfil de egreso El/la Ingeniero/a en y sistemas inteligentes de la Universidad Central de Chile es un/a profesional que diseña, desarrolla implementa y gestiona soluciones tecnológicas innovadoras, aplicando conocimientos y habilidades en desarrollo e ingeniería de software, proyectos de ciencia de datos y aplicación de inteligencia artificial. Actúa en contextos organizacionales diversos, tanto públicos como privados, contribuyendo a la transformación digital, la eficiencia operativa y la mejora continua, con pensamiento crítico y sustentabilidad, centrada en el usuario. Su formación le permite liderar proyectos tecnológicos, adaptarse a escenarios de rápida evolución digital, trabajar colaborativamente en equipos multidisciplinarios y comunicar efectivamente sus propuestas en ambientes locales y globales con enfoque de género y diversidad.",Universidad Central de Chile,Ingenieria en Informatica y Sistemas Inteligentes,https://advance.ucentral.cl/programas/ingenieria-en-informatica-y-sistemas-inteligentes/
37,Informática,1,4,True,"[""Ingeniería en Informática""]","[""informática"", ""informática"", ""Informática"", ""informática""]","Los titulados de la carrera de Ingeniería en Informática de la Universidad Mayor, se caracterizan por ser profesionales capaces de reflexionar de forma crítica y desempeñar tareas de diversa complejidad. Evidencian capacidad para generar modelos abstractos de una situación particular, que le permitan diseñar e implementar una solución informática adecuada y óptima . Los titulados revelan una capacidad de autoaprendizaje e investigación sobre los avances en las distintas líneas de especialización de la informática, lo que les permite mantenerse actualizados en forma permanente. Esto, sumado a la capacidad de innovar y emprender, les permite diseñar nuevas y mejores formas de realizar tareas profesionales. Capaces de diseñar y desarrollar iniciativas a través de proyectos que requieren liderazgo, trabajo en equipo multidisciplinares, comunicando de forma efectiva sus propósitos para tomar decisiones y asumir riesgos. Son calificados como ejecutivos idóneos para desempeñarse como Jefe de Unidades de Informática en organismos públicos y privados, asesor o consultor en el área de informática para empresas industriales y de servicios .","Los titulados de la carrera de de la Universidad Mayor, se caracterizan por ser profesionales capaces de reflexionar de forma crítica y desempeñar tareas de diversa complejidad. Evidencian capacidad para generar modelos abstractos de una situación particular, que le permitan diseñar e implementar una solución adecuada y óptima . Los titulados revelan una capacidad de autoaprendizaje e investigación sobre los avances en las distintas líneas de especialización de la , lo que les permite mantenerse actualizados en forma permanente. Esto, sumado a la capacidad de innovar y emprender, les permite diseñar nuevas y mejores formas de realizar tareas profesionales. Capaces de diseñar y desarrollar iniciativas a través de proyectos que requieren liderazgo, trabajo en equipo multidisciplinares, comunicando de forma efectiva sus propósitos para tomar decisiones y asumir riesgos. Son calificados como ejecutivos idóneos para desempeñarse como Jefe de Unidades de en organismos públicos y privados, asesor o consultor en el área de para empresas industriales y de servicios .",Universidad Mayor,Ingenieria en Informatica,https://advance.umayor.cl/educacion-online/ingenieria-informatica-plan-regular?utm_source=google&utm_medium=cpa&utm_campaign=SNB_AD_00807156_ON_20267&utm_content=RSA1_ex&utm_term=&gad_source=1&gad_campaignid=23076000607&gbraid=0AAAAADtiOMI1iMfo5ZY2WadRR71Q1zVIJ&gclid=CjwKCAjwhqfPBhBWEiwAZo196q-QOm6zr2L98M0Gp4yAELJa9zXl4ci5MQzLJJrfvV5vChRPKrEUeBoCY6wQAvD_BwE
38,Civil,3,0,True,"[""Ingeniería Civil en Computación e Informática"", ""Ingeniería Civil en Computación e Informática"", ""Ingeniero Civil en Computación e Informática""]",[],"El/la titulado/a de la carrera de Ingeniería Civil en Computación e Informática de la Universidad Mayor es un/a profesional que evidencia competencias con un alto nivel de abstracción en ciencias de la computación, tecnologías de la información y de las organizaciones, para contribuir a nivel local o global en el desarrollo de la sociedad, de organizaciones públicas o privadas, o de sus propios emprendimientos de base tecnológica. Es capaz de: • Construir y gestionar soluciones tecnológicas en sistemas de información, redes de datos y telecomunicaciones; garantizando una adecuada seguridad de la información a nivel técnico, cumpliendo las normas y legislación vigente. • Liderar equipos multidisciplinarios para desarrollar iniciativas transformadoras e innovadoras que requieren análisis de datos relevantes, toma de decisiones y comunicación efectiva, empleando sólidos principios de las ciencias de la ingeniería, ética profesional y responsabilidad social. • Generar proyectos propios de innovación y emprendimiento, relacionados con las tecnologías de la información y comunicaciones para establecer nuevas vías de desarrollo tecnológico-disciplinar. SELLO DE LA CARRERA El sello de la carrera de Ingeniería Civil en Computación e Informática se destaca en la formación de profesionales capaces de generar soluciones integrales, óptimas e innovadoras a necesidades emergentes del medio; respetando aspectos socioculturales, medioambientales y éticos. El/la Ingeniero Civil en Computación e Informática es un(a) profesional capaz de desempeñarse en las áreas de tecnología de información y comunicaciones, en instituciones públicas o privadas tanto nacionales como extranjeras, ejerciendo cargos desde niveles operativos hasta gerenciales, entre los que se destacan programador, analista y desarrollador de aplicaciones, administrador de sistemas y redes, arquitecto de tecnologías de la información, consultor tecnológico y líder de proyectos de TI.","El/la titulado/a de la carrera de de la Universidad Mayor es un/a profesional que evidencia competencias con un alto nivel de abstracción en ciencias de la computación, tecnologías de la información y de las organizaciones, para contribuir a nivel local o global en el desarrollo de la sociedad, de organizaciones públicas o privadas, o de sus propios emprendimientos de base tecnológica. Es capaz de: • Construir y gestionar soluciones tecnológicas en sistemas de información, redes de datos y telecomunicaciones; garantizando una adecuada seguridad de la información a nivel técnico, cumpliendo las normas y legislación vigente. • Liderar equipos multidisciplinarios para desarrollar iniciativas transformadoras e innovadoras que requieren análisis de datos relevantes, toma de decisiones y comunicación efectiva, empleando sólidos principios de las ciencias de la ingeniería, ética profesional y responsabilidad social. • Generar proyectos propios de innovación y emprendimiento, relacionados con las tecnologías de la información y comunicaciones para establecer nuevas vías de desarrollo tecnológico-disciplinar. SELLO DE LA CARRERA El sello de la carrera de se destaca en la formación de profesionales capaces de generar soluciones integrales, óptimas e innovadoras a necesidades emergentes del medio; respetando aspectos socioculturales, medioambientales y éticos. El/la es un(a) profesional capaz de desempeñarse en las áreas de tecnología de información y comunicaciones, en instituciones públicas o privadas tanto nacionales como extranjeras, ejerciendo cargos desde niveles operativos hasta gerenciales, entre los que se destacan programador, analista y desarrollador de aplicaciones, administrador de sistemas y redes, arquitecto de tecnologías de la información, consultor tecnológico y líder de proyectos de TI.",Universidad Mayor,Ingenieria Civil en Computacion e Informatica,https://www.umayor.cl/um/carreras/ingenieria-civil-en-computacion-e-informatica-santiago
39,Civil,1,2,True,"[""Ingeniera Civil en Informática""]","[""Informática"", ""informáticos""]","El Ingeniero o Ingeniera Civil en Informática y Telecomunicaciones es un profesional con liderazgo, actitud emprendedora, creatividad, innovación, pensamiento crítico, visión pluralista y compromiso con los problemas públicos. Posee una sólida formación en Ciencias Básicas, Ciencias de la Ingeniería, Informática, Telecomunicaciones, Planificación y Gestión, considerando siempre el impacto social de las soluciones tecnológicas. Su formación se centra en la creación y gestión integral de productos y sistemas basados en Tecnologías de la Información y Comunicaciones, que incluyen software, bases de datos, redes de comunicación e inteligencia artificial, evaluando su impacto en seguridad y privacidad. Este perfil mixto le permite analizar, diseñar, implementar y operar sistemas informáticos y de telecomunicaciones, así como gestionar proyectos, ocupar cargos ejecutivos en empresas o servicios afines, o emprender sus propios negocios.","El Ingeniero o y Telecomunicaciones es un profesional con liderazgo, actitud emprendedora, creatividad, innovación, pensamiento crítico, visión pluralista y compromiso con los problemas públicos. Posee una sólida formación en Ciencias Básicas, Ciencias de la Ingeniería, , Telecomunicaciones, Planificación y Gestión, considerando siempre el impacto social de las soluciones tecnológicas. Su formación se centra en la creación y gestión integral de productos y sistemas basados en Tecnologías de la Información y Comunicaciones, que incluyen software, bases de datos, redes de comunicación e inteligencia artificial, evaluando su impacto en seguridad y privacidad. Este perfil mixto le permite analizar, diseñar, implementar y operar sistemas y de telecomunicaciones, así como gestionar proyectos, ocupar cargos ejecutivos en empresas o servicios afines, o emprender sus propios negocios.",Universidad Diego Portales,Ingenieria Civil en Informatica y Telecomunicaciones,https://admision.udp.cl/carrera/ingenieria-civil-en-informatica-y-telecomunicaciones/
40,Informática,1,3,True,"[""Ingeniería en Informática""]","[""informáticas"", ""informática"", ""informáticas""]","Quienes egresan de Ingeniería en Informática y Gestión de la Universidad Diego Portales son profesionales con formación para gestionar proyectos y soluciones tecnológicas con una visión sistémica y en función de los objetivos organizacionales, destacándose por una actitud reflexiva, crítica, inclusiva y comprometida con los problemas de la esfera pública, contribuyendo a la viabilidad y sustentabilidad de la organización. Su formación les permite relacionar datos empresariales para apoyar la toma de decisiones con un enfoque de calidad, ética y responsabilidad social empresarial, con el fin de resolver problemas y/o necesidades de la organización, adaptándose a la innovación tecnológica y atendiendo a las oportunidades de negocio. A su vez, lideran equipos de trabajo interdisciplinarios para desarrollar y administrar soluciones informáticas, así como gestionar los recursos con el fin de hacer un uso eficiente de ellos, contribuyendo al cumplimiento de los objetivos organizacionales mediante soluciones tecnológicas. Resultados de Aprendizaje Ámbito de Desempeño: Proyectos Tecnológicos Gestionar tecnologías de la información y comunicaciones en función de los objetivos organizacionales, con visión sistémica y énfasis en la mejora de procesos, la transformación digital y el buen uso de la infraestructura tecnológica operativa de la organización, tanto de redes, como de software y hardware. Gestionar proyectos tecnológicos en un contexto de innovación, considerando la normativa legal vigente, la responsabilidad social y ambiental activa, la seguridad informática y de la información, enmarcándose la aplicación de buenas prácticas. Resultados de Aprendizaje Ámbito de Desempeño: Soluciones Tecnológicas Empresariales Gestionar soluciones tecnológicas para la resolución de problemáticas y/o necesidades de las organizaciones, considerando las oportunidades de negocio, la cultura organizativa, cambios en los procesos, desafíos de la organización y la mejora continua. Relacionar datos empresariales para apoyar la toma de decisiones y la estrategia empresarial, considerando procedimientos y protocolos de protección y resguardo de la información y los datos. Resultados de Aprendizaje Ámbito de Desempeño: Gestión de Recursos Liderar equipos de trabajo multidisciplinarios para el desarrollo y administración de soluciones informáticas en diversos tipos de organizaciones, considerando la mejora continua y el reconocimiento del talento de las personas. Gestionar recursos empresariales, a través de soluciones tecnológicas, buenas prácticas y el uso adecuado del tiempo y del presupuesto, con el fin de utilizarlos de manera eficiente y contribuir al logro de los objetivos organizacionales.","Quienes egresan de y Gestión de la Universidad Diego Portales son profesionales con formación para gestionar proyectos y soluciones tecnológicas con una visión sistémica y en función de los objetivos organizacionales, destacándose por una actitud reflexiva, crítica, inclusiva y comprometida con los problemas de la esfera pública, contribuyendo a la viabilidad y sustentabilidad de la organización. Su formación les permite relacionar datos empresariales para apoyar la toma de decisiones con un enfoque de calidad, ética y responsabilidad social empresarial, con el fin de resolver problemas y/o necesidades de la organización, adaptándose a la innovación tecnológica y atendiendo a las oportunidades de negocio. A su vez, lideran equipos de trabajo interdisciplinarios para desarrollar y administrar soluciones , así como gestionar los recursos con el fin de hacer un uso eficiente de ellos, contribuyendo al cumplimiento de los objetivos organizacionales mediante soluciones tecnológicas. Resultados de Aprendizaje Ámbito de Desempeño: Proyectos Tecnológicos Gestionar tecnologías de la información y comunicaciones en función de los objetivos organizacionales, con visión sistémica y énfasis en la mejora de procesos, la transformación digital y el buen uso de la infraestructura tecnológica operativa de la organización, tanto de redes, como de software y hardware. Gestionar proyectos tecnológicos en un contexto de innovación, considerando la normativa legal vigente, la responsabilidad social y ambiental activa, la seguridad y de la información, enmarcándose la aplicación de buenas prácticas. Resultados de Aprendizaje Ámbito de Desempeño: Soluciones Tecnológicas Empresariales Gestionar soluciones tecnológicas para la resolución de problemáticas y/o necesidades de las organizaciones, considerando las oportunidades de negocio, la cultura organizativa, cambios en los procesos, desafíos de la organización y la mejora continua. Relacionar datos empresariales para apoyar la toma de decisiones y la estrategia empresarial, considerando procedimientos y protocolos de protección y resguardo de la información y los datos. Resultados de Aprendizaje Ámbito de Desempeño: Gestión de Recursos Liderar equipos de trabajo multidisciplinarios para el desarrollo y administración de soluciones en diversos tipos de organizaciones, considerando la mejora continua y el reconocimiento del talento de las personas. Gestionar recursos empresariales, a través de soluciones tecnológicas, buenas prácticas y el uso adecuado del tiempo y del presupuesto, con el fin de utilizarlos de manera eficiente y contribuir al logro de los objetivos organizacionales.",Universidad Diego Portales,Ingenieria en Informatica y Gestion,https://admision.udp.cl/carrera/ingenieria-en-informatica-y-gestion/
