fold_externo,fold_interno,rol,fila_datos,grupo_cv,grado
1,2,train,62,grupo_061,Informática
1,2,train,63,grupo_062,Civil
1,2,validacion,1,grupo_001,Ejecución
1,2,validacion,2,grupo_002,Civil
1,2,validacion,5,grupo_005,Civil
1,2,validacion,13,grupo_013,Civil
1,2,validacion,14,grupo_014,Civil
1,2,validacion,17,grupo_017,Informática
1,2,validacion,22,grupo_022,Informática
1,2,validacion,23,grupo_023,Civil
1,2,validacion,27,grupo_027,Civil
1,2,validacion,28,grupo_028,Civil
1,2,validacion,32,grupo_032,Informática
1,2,validacion,42,grupo_042,Civil
1,2,validacion,53,grupo_053,Informática
1,2,validacion,57,grupo_056,Informática
1,2,validacion,59,grupo_058,Informática
1,3,train,1,grupo_001,Ejecución
1,3,train,2,grupo_002,Civil
1,3,train,4,grupo_004,Civil
1,3,train,5,grupo_005,Civil
1,3,train,7,grupo_007,Civil
1,3,train,8,grupo_008,Civil
1,3,train,10,grupo_010,Civil
1,3,train,13,grupo_013,Civil
1,3,train,14,grupo_014,Civil
1,3,train,15,grupo_015,Informática
1,3,train,17,grupo_017,Informática
1,3,train,20,grupo_020,Informática
1,3,train,21,grupo_021,Civil
1,3,train,22,grupo_022,Informática
1,3,train,23,grupo_023,Civil
1,3,train,25,grupo_025,Informática
1,3,train,26,grupo_026,Informática
1,3,train,27,grupo_027,Civil
1,3,train,28,grupo_028,Civil
1,3,train,32,grupo_032,Informática
1,3,train,39,grupo_039,Civil
1,3,train,40,grupo_040,Informática
1,3,train,41,grupo_041,Civil
1,3,train,42,grupo_042,Civil
1,3,train,43,grupo_043,Civil
1,3,train,52,grupo_052,Informática
1,3,train,53,grupo_053,Informática
1,3,train,55,grupo_055,Ejecución
1,3,train,57,grupo_056,Informática
1,3,train,59,grupo_058,Informática
1,3,train,61,grupo_060,Informática
1,3,validacion,6,grupo_006,Civil
1,3,validacion,11,grupo_011,Ejecución
1,3,validacion,12,grupo_012,Informática
1,3,validacion,16,grupo_016,Civil
1,3,validacion,31,grupo_031,Informática
1,3,validacion,35,grupo_035,Civil
1,3,validacion,37,grupo_037,Informática
1,3,validacion,44,grupo_044,Civil
1,3,validacion,45,grupo_045,Civil
1,3,validacion,47,grupo_047,Civil
1,3,validacion,48,grupo_048,Informática
1,3,validacion,54,grupo_054,Informática
1,3,validacion,58,grupo_057,Civil
1,3,validacion,62,grupo_061,Informática
1,3,validacion,63,grupo_062,Civil
2,0,train,3,grupo_003,Informática
2,0,train,4,grupo_004,Civil
2,0,train,5,grupo_005,Civil
2,0,train,6,grupo_006,Civil
2,0,train,8,grupo_008,Civil
2,0,train,9,grupo_009,Informática
2,0,train,10,grupo_010,Civil
2,0,train,11,grupo_011,Ejecución
2,0,train,12,grupo_012,Informática
2,0,train,17,grupo_017,Informática
2,0,train,18,grupo_018,Civil
2,0,train,19,grupo_019,Civil
2,0,train,21,grupo_021,Civil
2,0,train,22,grupo_022,Informática
2,0,train,23,grupo_023,Civil
2,0,train,24,grupo_024,Civil
2,0,train,25,grupo_025,Informática
2,0,train,29,grupo_029,Ejecución
2,0,train,30,grupo_030,Civil
2,0,train,32,grupo_032,Informática
2,0,train,33,grupo_033,Civil
2,0,train,34,grupo_034,Informática
2,0,train,35,grupo_035,Civil
2,0,train,36,grupo_036,Informática
2,0,train,37,grupo_037,Informática
2,0,train,38,grupo_038,Civil
2,0,train,39,grupo_039,Civil
2,0,train,41,grupo_041,Civil
2,0,train,42,grupo_042,Civil
2,0,train,43,grupo_043,Civil
2,0,train,44,grupo_044,Civil
2,0,train,45,grupo_045,Civil
2,0,train,46,grupo_046,Civil
2,0,train,47,grupo_047,Civil
2,0,train,48,grupo_048,Informática
2,0,train,49,grupo_049,Informática
2,0,train,50,grupo_050,Informática
2,0,train,51,grupo_051,Informática
2,0,train,52,grupo_052,Informática
2,0,train,54,grupo_054,Informática
2,0,train,55,grupo_055,Ejecución
2,0,train,56,grupo_029,Ejecución
2,0,train,57,grupo_056,Informática
2,0,train,58,grupo_057,Civil
2,0,train,59,grupo_058,Informática
2,0,train,60,grupo_059,Civil
2,0,train,61,grupo_060,Informática
2,0,test,1,grupo_001,Ejecución
2,0,test,2,grupo_002,Civil
2,0,test,7,grupo_007,Civil
2,0,test,13,grupo_013,Civil
2,0,test,14,grupo_014,Civil
2,0,test,15,grupo_015,Informática
2,0,test,16,grupo_016,Civil
2,0,test,20,grupo_020,Informática
2,0,test,26,grupo_026,Informática
2,0,test,27,grupo_027,Civil
2,0,test,28,grupo_028,Civil
2,0,test,31,grupo_031,Informática
2,0,test,40,grupo_040,Informática
2,0,test,53,grupo_053,Informática
2,0,test,62,grupo_061,Informática
2,0,test,63,grupo_062,Civil
2,1,train,3,grupo_003,Informática
2,1,train,4,grupo_004,Civil
2,1,train,6,grupo_006,Civil
2,1,train,8,grupo_008,Civil
2,1,train,10,grupo_010,Civil
2,1,train,11,grupo_011,Ejecución
2,1,train,17,grupo_017,Informática
2,1,train,18,grupo_018,Civil
2,1,train,21,grupo_021,Civil
2,1,train,22,grupo_022,Informática
2,1,train,23,grupo_023,Civil
2,1,train,29,grupo_029,Ejecución
2,1,train,30,grupo_030,Civil
2,1,train,33,grupo_033,Civil
2,1,train,34,grupo_034,Informática
2,1,train,36,grupo_036,Informática
2,1,train,37,grupo_037,Informática
2,1,train,38,grupo_038,Civil
2,1,train,39,grupo_039,Civil
2,1,train,41,grupo_041,Civil
2,1,train,43,grupo_043,Civil
2,1,train,45,grupo_045,Civil
2,1,train,47,grupo_047,Civil
2,1,train,48,grupo_048,Informática
2,1,train,49,grupo_049,Informática
2,1,train,52,grupo_052,Informática
2,1,train,54,grupo_054,Informática
2,1,train,56,grupo_029,Ejecución
2,1,train,57,grupo_056,Informática
2,1,train,59,grupo_058,Informática
2,1,train,60,grupo_059,Civil
2,1,validacion,5,grupo_005,Civil
2,1,validacion,9,grupo_009,Informática
2,1,validacion,12,grupo_012,Informática
2,1,validacion,19,grupo_019,Civil
2,1,validacion,24,grupo_024,Civil
2,1,validacion,25,grupo_025,Informática
2,1,validacion,32,grupo_032,Informática
2,1,validacion,35,grupo_035,Civil
2,1,validacion,42,grupo_042,Civil
2,1,validacion,44,grupo_044,Civil
2,1,validacion,46,grupo_046,Civil
2,1,validacion,50,grupo_050,Informática
2,1,validacion,51,grupo_051,Informática
2,1,validacion,55,grupo_055,Ejecución
2,1,validacion,58,grupo_057,Civil
2,1,validacion,61,grupo_060,Informática
2,2,train,3,grupo_003,Informática
2,2,train,4,grupo_004,Civil
2,2,train,5,grupo_005,Civil
2,2,train,9,grupo_009,Informática
2,2,train,10,grupo_010,Civil
2,2,train,11,grupo_011,Ejecución
2,2,train,12,grupo_012,Informática
2,2,train,18,grupo_018,Civil
2,2,train,19,grupo_019,Civil
2,2,train,21,grupo_021,Civil
2,2,train,22,grupo_022,Informática
2,2,train,24,grupo_024,Civil
2,2,train,25,grupo_025,Informática
2,2,train,32,grupo_032,Informática
2,2,train,35,grupo_035,Civil
2,2,train,39,grupo_039,Civil
2,2,train,42,grupo_042,Civil
2,2,train,43,grupo_043,Civil
2,2,train,44,grupo_044,Civil
2,2,train,46,grupo_046,Civil
2,2,train,47,grupo_047,Civil
2,2,train,49,grupo_049,Informática
2,2,train,50,grupo_050,Informática
2,2,train,51,grupo_051,Informática
2,2,train,52,grupo_052,Informática
2,2,train,55,grupo_055,Ejecución
2,2,train,57,grupo_056,Informática
2,2,train,58,grupo_057,Civil
2,2,train,59,grupo_058,Informática
2,2,train,60,grupo_059,Civil
2,2,train,61,grupo_060,Informática
2,2,validacion,6,grupo_006,Civil
2,2,validacion,8,grupo_008,Civil
2,2,validacion,17,grupo_017,Informática
2,2,validacion,23,grupo_023,Civil
2,2,validacion,29,grupo_029,Ejecución
2,2,validacion,30,grupo_030,Civil
2,2,validacion,33,grupo_033,Civil
2,2,validacion,34,grupo_034,Informática
2,2,validacion,36,grupo_036,Informática
2,2,validacion,37,grupo_037,Informática
2,2,validacion,38,grupo_038,Civil
2,2,validacion,41,grupo_041,Civil
2,2,validacion,45,grupo_045,Civil
2,2,validacion,48,grupo_048,Informática
2,2,validacion,54,grupo_054,Informática
2,2,validacion,56,grupo_029,Ejecución
2,3,train,5,grupo_005,Civil
2,3,train,6,grupo_006,Civil
2,3,train,8,grupo_008,Civil
2,3,train,9,grupo_009,Informática
2,3,train,12,grupo_012,Informática
2,3,train,17,grupo_017,Informática
2,3,train,19,grupo_019,Civil
2,3,train,23,grupo_023,Civil
2,3,train,24,grupo_024,Civil
2,3,train,25,grupo_025,Informática
2,3,train,29,grupo_029,Ejecución
2,3,train,30,grupo_030,Civil
2,3,train,32,grupo_032,Informática
2,3,train,33,grupo_033,Civil
2,3,train,34,grupo_034,Informática
2,3,train,35,grupo_035,Civil
2,3,train,36,grupo_036,Informática
2,3,train,37,grupo_037,Informática
2,3,train,38,grupo_038,Civil
2,3,train,41,grupo_041,Civil
2,3,train,42,grupo_042,Civil
2,3,train,44,grupo_044,Civil
2,3,train,45,grupo_045,Civil
2,3,train,46,grupo_046,Civil
2,3,train,48,grupo_048,Informática
2,3,train,50,grupo_050,Informática
2,3,train,51,grupo_051,Informática
2,3,train,54,grupo_054,Informática
2,3,train,55,grupo_055,Ejecución
2,3,train,56,grupo_029,Ejecución
2,3,train,58,grupo_057,Civil
2,3,train,61,grupo_060,Informática
2,3,validacion,3,grupo_003,Informática
2,3,validacion,4,grupo_004,Civil
2,3,validacion,10,grupo_010,Civil
2,3,validacion,11,grupo_011,Ejecución
2,3,validacion,18,grupo_018,Civil
2,3,validacion,21,grupo_021,Civil
2,3,validacion,22,grupo_022,Informática
2,3,validacion,39,grupo_039,Civil
2,3,validacion,43,grupo_043,Civil
2,3,validacion,47,grupo_047,Civil
2,3,validacion,49,grupo_049,Informática
2,3,validacion,52,grupo_052,Informática
2,3,validacion,57,grupo_056,Informática
2,3,validacion,59,grupo_058,Informática
2,3,validacion,60,grupo_059,Civil
3,0,train,1,grupo_001,Ejecución
3,0,train,2,grupo_002,Civil
3,0,train,3,grupo_003,Informática
3,0,train,5,grupo_005,Civil
3,0,train,6,grupo_006,Civil
3,0,train,7,grupo_007,Civil
3,0,train,8,grupo_008,Civil
3,0,train,9,grupo_009,Informática
3,0,train,11,grupo_011,Ejecución
3,0,train,12,grupo_012,Informática
3,0,train,13,grupo_013,Civil
3,0,train,14,grupo_014,Civil
3,0,train,15,grupo_015,Informática
3,0,train,16,grupo_016,Civil
3,0,train,17,grupo_017,Informática
3,0,train,18,grupo_018,Civil
3,0,train,19,grupo_019,Civil
3,0,train,20,grupo_020,Informática
3,0,train,22,grupo_022,Informática
3,0,train,24,grupo_024,Civil
3,0,train,25,grupo_025,Informática
3,0,train,26,grupo_026,Informática
3,0,train,27,grupo_027,Civil
3,0,train,28,grupo_028,Civil
3,0,train,29,grupo_029,Ejecución
3,0,train,30,grupo_030,Civil
3,0,train,31,grupo_031,Informática
3,0,train,32,grupo_032,Informática
3,0,train,33,grupo_033,Civil
3,0,train,34,grupo_034,Informática
3,0,train,35,grupo_035,Civil
3,0,train,36,grupo_036,Informática
3,0,train,38,grupo_038,Civil
3,0,train,39,grupo_039,Civil
3,0,train,40,grupo_040,Informática
3,0,train,42,grupo_042,Civil
3,0,train,45,grupo_045,Civil
3,0,train,46,grupo_046,Civil
3,0,train,49,grupo_049,Informática
3,0,train,50,grupo_050,Informática
3,0,train,51,grupo_051,Informática
3,0,train,53,grupo_053,Informática
3,0,train,56,grupo_029,Ejecución
3,0,train,57,grupo_056,Informática
3,0,train,58,grupo_057,Civil
3,0,train,60,grupo_059,Civil
3,0,train,62,grupo_061,Informática
3,0,train,63,grupo_062,Civil
3,0,test,4,grupo_004,Civil
3,0,test,10,grupo_010,Civil
3,0,test,21,grupo_021,Civil
3,0,test,23,grupo_023,Civil
3,0,test,37,grupo_037,Informática
3,0,test,41,grupo_041,Civil
3,0,test,43,grupo_043,Civil
3,0,test,44,grupo_044,Civil
3,0,test,47,grupo_047,Civil
3,0,test,48,grupo_048,Informática
3,0,test,52,grupo_052,Informática
3,0,test,54,grupo_054,Informática
3,0,test,55,grupo_055,Ejecución
3,0,test,59,grupo_058,Informática
3,0,test,61,grupo_060,Informática
3,1,train,2,grupo_002,Civil
3,1,train,5,grupo_005,Civil
3,1,train,6,grupo_006,Civil
3,1,train,7,grupo_007,Civil
3,1,train,8,grupo_008,Civil
3,1,train,9,grupo_009,Informática
3,1,train,11,grupo_011,Ejecución
3,1,train,13,grupo_013,Civil
3,1,train,14,grupo_014,Civil
3,1,train,15,grupo_015,Informática
3,1,train,16,grupo_016,Civil
3,1,train,19,grupo_019,Civil
3,1,train,20,grupo_020,Informática
3,1,train,22,grupo_022,Informática
3,1,train,24,grupo_024,Civil
3,1,train,29,grupo_029,Ejecución
3,1,train,30,grupo_030,Civil
3,1,train,31,grupo_031,Informática
3,1,train,32,grupo_032,Informática
3,1,train,33,grupo_033,Civil
3,1,train,36,grupo_036,Informática
3,1,train,38,grupo_038,Civil
3,1,train,39,grupo_039,Civil
3,1,train,40,grupo_040,Informática
3,1,train,45,grupo_045,Civil
3,1,train,49,grupo_049,Informática
3,1,train,50,grupo_050,Informática
3,1,train,51,grupo_051,Informática
3,1,train,56,grupo_029,Ejecución
3,1,train,57,grupo_056,Informática
3,1,train,60,grupo_059,Civil
3,1,train,62,grupo_061,Informática
3,1,validacion,1,grupo_001,Ejecución
3,1,validacion,3,grupo_003,Informática
3,1,validacion,12,grupo_012,Informática
3,1,validacion,17,grupo_017,Informática
3,1,validacion,18,grupo_018,Civil
3,1,validacion,25,grupo_025,Informática
3,1,validacion,26,grupo_026,Informática
3,1,validacion,27,grupo_027,Civil
3,1,validacion,28,grupo_028,Civil
3,1,validacion,34,grupo_034,Informática
3,1,validacion,35,grupo_035,Civil
3,1,validacion,42,grupo_042,Civil
3,1,validacion,46,grupo_046,Civil
3,1,validacion,53,grupo_053,Informática
3,1,validacion,58,grupo_057,Civil
3,1,validacion,63,grupo_062,Civil
3,2,train,1,grupo_001,Ejecución
3,2,train,3,grupo_003,Informática
3,2,train,5,grupo_005,Civil
3,2,train,6,grupo_006,Civil
3,2,train,12,grupo_012,Informática
3,2,train,13,grupo_013,Civil
3,2,train,16,grupo_016,Civil
3,2,train,17,grupo_017,Informática
3,2,train,18,grupo_018,Civil
3,2,train,19,grupo_019,Civil
3,2,train,20,grupo_020,Informática
3,2,train,22,grupo_022,Informática
3,2,train,25,grupo_025,Informática
3,2,train,26,grupo_026,Informática
3,2,train,27,grupo_027,Civil
3,2,train,28,grupo_028,Civil
3,2,train,29,grupo_029,Ejecución
3,2,train,30,grupo_030,Civil
3,2,train,31,grupo_031,Informática
3,2,train,32,grupo_032,Informática
3,2,train,33,grupo_033,Civil
3,2,train,34,grupo_034,Informática
3,2,train,35,grupo_035,Civil
3,2,train,42,grupo_042,Civil
3,2,train,46,grupo_046,Civil
3,2,train,53,grupo_053,Informática
3,2,train,56,grupo_029,Ejecución
3,2,train,57,grupo_056,Informática
3,2,train,58,grupo_057,Civil
3,2,train,60,grupo_059,Civil
3,2,train,62,grupo_061,Informática
3,2,train,63,grupo_062,Civil
3,2,validacion,2,grupo_002,Civil
3,2,validacion,7,grupo_007,Civil
3,2,validacion,8,grupo_008,Civil
3,2,validacion,9,grupo_009,Informática
3,2,validacion,11,grupo_011,Ejecución
3,2,validacion,14,grupo_014,Civil
3,2,validacion,15,grupo_015,Informática
3,2,validacion,24,grupo_024,Civil
3,2,validacion,36,grupo_036,Informática
3,2,validacion,38,grupo_038,Civil
3,2,validacion,39,grupo_039,Civil
3,2,validacion,40,grupo_040,Informática
3,2,validacion,45,grupo_045,Civil
3,2,validacion,49,grupo_049,Informática
3,2,validacion,50,grupo_050,Informática
3,2,validacion,51,grupo_051,Informática
3,3,train,1,grupo_001,Ejecución
3,3,train,2,grupo_002,Civil
3,3,train,3,grupo_003,Informática
3,3,train,7,grupo_007,Civil
3,3,train,8,grupo_008,Civil
3,3,train,9,grupo_009,Informática
3,3,train,11,grupo_011,Ejecución
3,3,train,12,grupo_012,Informática
3,3,train,14,grupo_014,Civil
3,3,train,15,grupo_015,Informática
3,3,train,17,grupo_017,Informática
3,3,train,18,grupo_018,Civil
3,3,train,24,grupo_024,Civil
3,3,train,25,grupo_025,Informática
3,3,train,26,grupo_026,Informática
3,3,train,27,grupo_027,Civil
3,3,train,28,grupo_028,Civil
3,3,train,34,grupo_034,Informática
3,3,train,35,grupo_035,Civil
3,3,train,36,grupo_036,Informática
3,3,train,38,grupo_038,Civil
3,3,train,39,grupo_039,Civil
3,3,train,40,grupo_040,Informática
3,3,train,42,grupo_042,Civil
3,3,train,45,grupo_045,Civil
3,3,train,46,grupo_046,Civil
3,3,train,49,grupo_049,Informática
3,3,train,50,grupo_050,Informática
3,3,train,51,grupo_051,Informática
3,3,train,53,grupo_053,Informática
3,3,train,58,grupo_057,Civil
3,3,train,63,grupo_062,Civil
3,3,validacion,5,grupo_005,Civil
3,3,validacion,6,grupo_006,Civil
3,3,validacion,13,grupo_013,Civil
3,3,validacion,16,grupo_016,Civil
3,3,validacion,19,grupo_019,Civil
3,3,validacion,20,grupo_020,Informática
3,3,validacion,22,grupo_022,Informática
3,3,validacion,29,grupo_029,Ejecución
3,3,validacion,30,grupo_030,Civil
3,3,validacion,31,grupo_031,Informática
3,3,validacion,32,grupo_032,Informática
3,3,validacion,33,grupo_033,Civil
3,3,validacion,56,grupo_029,Ejecución
3,3,validacion,57,grupo_056,Informática
3,3,validacion,60,grupo_059,Civil
3,3,validacion,62,grupo_061,Informática
4,0,train,1,grupo_001,Ejecución
4,0,train,2,grupo_002,Civil
4,0,train,3,grupo_003,Informática
4,0,train,4,grupo_004,Civil
4,0,train,7,grupo_007,Civil
4,0,train,9,grupo_009,Informática
4,0,train,10,grupo_010,Civil
4,0,train,13,grupo_013,Civil
4,0,train,14,grupo_014,Civil
4,0,train,15,grupo_015,Informática
4,0,train,16,grupo_016,Civil
4,0,train,18,grupo_018,Civil
4,0,train,19,grupo_019,Civil
4,0,train,20,grupo_020,Informática
4,0,train,21,grupo_021,Civil
4,0,train,23,grupo_023,Civil
4,0,train,24,grupo_024,Civil
4,0,train,26,grupo_026,Informática
4,0,train,27,grupo_027,Civil
4,0,train,28,grupo_028,Civil
4,0,train,29,grupo_029,Ejecución
4,0,train,30,grupo_030,Civil
4,0,train,31,grupo_031,Informática
4,0,train,33,grupo_033,Civil
4,0,train,34,grupo_034,Informática
4,0,train,36,grupo_036,Informática
4,0,train,37,grupo_037,Informática
4,0,train,38,grupo_038,Civil
4,0,train,40,grupo_040,Informática
4,0,train,41,grupo_041,Civil
4,0,train,43,grupo_043,Civil
4,0,train,44,grupo_044,Civil
4,0,train,46,grupo_046,Civil
4,0,train,47,grupo_047,Civil
4,0,train,48,grupo_048,Informática
4,0,train,49,grupo_049,Informática
4,0,train,50,grupo_050,Informática
4,0,train,51,grupo_051,Informática
4,0,train,52,grupo_052,Informática
4,0,train,53,grupo_053,Informática
4,0,train,54,grupo_054,Informática
4,0,train,55,grupo_055,Ejecución
4,0,train,56,grupo_029,Ejecución
4,0,train,59,grupo_058,Informática
4,0,train,60,grupo_059,Civil
4,0,train,61,grupo_060,Informática
4,0,train,62,grupo_061,Informática
4,0,train,63,grupo_062,Civil
4,0,test,5,grupo_005,Civil
4,0,test,6,grupo_006,Civil
4,0,test,8,grupo_008,Civil
4,0,test,11,grupo_011,Ejecución
4,0,test,12,grupo_012,Informática
4,0,test,17,grupo_017,Informática
4,0,test,22,grupo_022,Informática
4,0,test,25,grupo_025,Informática
4,0,test,32,grupo_032,Informática
4,0,test,35,grupo_035,Civil
4,0,test,39,grupo_039,Civil
4,0,test,42,grupo_042,Civil
4,0,test,45,grupo_045,Civil
4,0,test,57,grupo_056,Informática
4,0,test,58,grupo_057,Civil
4,1,train,7,grupo_007,Civil
4,1,train,14,grupo_014,Civil
4,1,train,16,grupo_016,Civil
4,1,train,18,grupo_018,Civil
4,1,train,19,grupo_019,Civil
4,1,train,21,grupo_021,Civil
4,1,train,23,grupo_023,Civil
4,1,train,24,grupo_024,Civil
4,1,train,26,grupo_026,Informática
4,1,train,29,grupo_029,Ejecución
4,1,train,31,grupo_031,Informática
4,1,train,33,grupo_033,Civil
4,1,train,34,grupo_034,Informática
4,1,train,36,grupo_036,Informática
4,1,train,37,grupo_037,Informática
4,1,train,41,grupo_041,Civil
4,1,train,43,grupo_043,Civil
4,1,train,44,grupo_044,Civil
4,1,train,46,grupo_046,Civil
4,1,train,47,grupo_047,Civil
4,1,train,48,grupo_048,Informática
4,1,train,50,grupo_050,Informática
4,1,train,51,grupo_051,Informática
4,1,train,52,grupo_052,Informática
4,1,train,54,grupo_054,Informática
4,1,train,55,grupo_055,Ejecución
4,1,train,56,grupo_029,Ejecución
4,1,train,59,grupo_058,Informática
4,1,train,60,grupo_059,Civil
4,1,train,61,grupo_060,Informática
4,1,train,62,grupo_061,Informática
4,1,train,63,grupo_062,Civil
4,1,validacion,1,grupo_001,Ejecución
4,1,validacion,2,grupo_002,Civil
4,1,validacion,3,grupo_003,Informática
4,1,validacion,4,grupo_004,Civil
4,1,validacion,9,grupo_009,Informática
4,1,validacion,10,grupo_010,Civil
4,1,validacion,13,grupo_013,Civil
4,1,validacion,15,grupo_015,Informática
4,1,validacion,20,grupo_020,Informática
4,1,validacion,27,grupo_027,Civil
4,1,validacion,28,grupo_028,Civil
4,1,validacion,30,grupo_030,Civil
4,1,validacion,38,grupo_038,Civil
4,1,validacion,40,grupo_040,Informática
4,1,validacion,49,grupo_049,Informática
4,1,validacion,53,grupo_053,Informática
4,2,train,1,grupo_001,Ejecución
4,2,train,2,grupo_002,Civil
4,2,train,3,grupo_003,Informática
4,2,train,4,grupo_004,Civil
4,2,train,9,grupo_009,Informática
4,2,train,10,grupo_010,Civil
4,2,train,13,grupo_013,Civil
4,2,train,15,grupo_015,Informática
4,2,train,20,grupo_020,Informática
4,2,train,23,grupo_023,Civil
4,2,train,24,grupo_024,Civil
4,2,train,26,grupo_026,Informática
4,2,train,27,grupo_027,Civil
4,2,train,28,grupo_028,Civil
4,2,train,29,grupo_029,Ejecución
4,2,train,30,grupo_030,Civil
4,2,train,33,grupo_033,Civil
4,2,train,37,grupo_037,Informática
4,2,train,38,grupo_038,Civil
4,2,train,40,grupo_040,Informática
4,2,train,41,grupo_041,Civil
4,2,train,43,grupo_043,Civil
4,2,train,46,grupo_046,Civil
4,2,train,47,grupo_047,Civil
4,2,train,49,grupo_049,Informática
4,2,train,50,grupo_050,Informática
4,2,train,51,grupo_051,Informática
